model,hour,n,mae,rmse,mean_residual,median_residual
M1,10,361,47.87167732760505,63.896924280895725,0.4101051025861951,-10.803349320293819
M1,11,360,48.44682315833906,65.24883633304297,-0.33233165607411796,-11.593238823252243
M1,12,362,47.6839890862134,64.70719569163656,1.5489393890973335,-12.942442919458014
M1,13,363,47.55333697946649,63.491309866380234,1.3161446657916371,-12.158563691547897
M1,14,361,46.678335843640575,63.31452283240853,2.064389940843785,-10.121950827664477
M1,15,361,47.06065434510392,64.9707545013479,3.5856708832807875,-5.724331622294812
M1,16,354,48.03211507589277,67.05317790726767,3.53607670694905,-10.499889027343668
M1,17,357,48.48118869987548,66.66397842684842,2.5013482602118575,-9.257889712433084
M1,18,363,49.79920556652073,68.70143397469462,4.463559808788133,-8.877688938184292
M1,19,361,53.60889084672916,73.54527156510677,0.7019920296647725,-13.761915935857814
M1,20,362,58.531554455299606,82.02378876202417,0.14287135216372962,-17.751309804938725
M1,21,362,56.871774893756644,79.39490403117111,-1.9996016397771368,-17.78326231752658
M1,22,362,58.10628279712584,80.26766115172099,-3.3264962315658173,-19.82504314077027
M1,23,363,59.42484295392586,82.03210294227502,-3.105274822867077,-20.831392317140853
M2,0,358,57.23227641405796,85.97744499122769,2.7013964397649883,-8.578241284763024
M2,1,362,60.30796869684117,90.4523841878946,-0.7519132192100482,-11.636554621848742
M2,2,360,57.93621434199718,84.46530738740137,-0.3855960215903672,-12.664411265355039
M2,3,361,58.59703620063189,82.38303258294874,-2.1628824057740395,-11.067796610169495
M2,4,361,56.48447227422634,78.6553068640483,-5.2434990202329095,-8.883720930232556
M2,5,361,54.87658081351377,75.6993407644389,-8.86126576038076,-10.48671726755218
M2,6,362,53.16315343339503,74.77103361518012,-10.981848710359452,-11.607142857142858
M2,7,361,52.741428350661984,74.18813397082315,-12.15184775115122,-9.722222222222218
M2,8,361,51.06722543746772,74.23325069584553,-9.055076825985264,-10.806157354618023
M2,9,362,50.61940212025833,75.02940717448867,-3.9821885489163167,-9.752777777777782
M2,10,361,47.842683678613824,68.81472152826095,-3.8536534015389066,-6.514285714285677
M2,11,360,45.798866667479636,67.13485413611059,-4.175467574078231,-8.727150537634406
M2,12,362,46.7051901718061,70.4236027234342,-1.3509452609344732,-9.04923922231615
M2,13,363,43.98674280331211,65.06092092811281,0.9517887271260613,-9.333333333333336
M2,14,361,43.74266341687103,69.4554897982517,1.1378006927038233,-7.750967741935455
M2,15,361,41.714193846592714,62.56015015366064,0.9381975892686159,-7.0
M2,16,354,44.09476833087265,66.58551406191867,-1.9754514433383212,-12.672255095332021
M2,17,357,44.4054512273623,65.55759164223451,-1.6880047776129856,-10.0
M2,18,363,45.39054130777246,66.34468208551294,2.283349245371836,-8.912698412698404
M2,19,361,52.79846104659874,77.33209210953694,-3.521193387018529,-12.316498316498325
M2,20,362,53.8667436989872,82.1090361481905,0.5181681816312098,-10.347523121753456
M2,21,362,54.088666816030525,81.3049229223669,-2.6413044800225087,-9.233222167325431
M2,22,362,55.230804351788954,81.71713484999343,-2.821111606434899,-10.416795665634673
M2,23,363,57.11655654763254,83.02939633735761,-0.33743488933565663,-12.714285714285715
M3,0,358,54.67929660295929,80.93975878628162,4.1815517660735795,-8.153621521003542
M3,1,362,56.28064879022527,83.49096764611097,0.378144171326172,-12.16298115875393
M3,2,360,55.0712296554116,78.945617715677,-0.35807905807906765,-13.937512840166377
M3,3,361,55.79268946682468,79.13725891373251,-1.8534587703880143,-11.171028388488452
M3,4,361,53.68000016986397,74.65133809110472,-4.478136665846912,-10.866226684256233
M3,5,361,51.68930594977842,69.17323121127923,-8.487019560099498,-15.353157728918703
M3,6,362,51.380902836244445,70.608808931465,-10.337898469272846,-15.792698541068074
M3,7,361,50.18636476106273,69.19533997515543,-11.11927164895313,-12.972703956747306
M3,8,361,48.17728653557085,67.78568187261882,-7.328799572707733,-12.745676175665253
M3,9,362,47.590219626311935,68.9163595002775,-2.922685072602476,-11.612182483611207
M3,10,361,44.0687614852222,63.003994347213094,-2.8952050064605293,-9.4556619585506
M3,11,360,43.63082115277879,61.99934348273875,-2.5387647549201,-10.026135748355777
M3,12,362,43.421678871336525,63.023562431879064,-0.41232329226562225,-11.21766434071059
M3,13,363,40.31618717940146,57.74315127699763,-0.5615851459162191,-8.100251836043697
M3,14,361,40.631343177549404,62.09462859795504,-0.5395391868161538,-8.216677449262733
M3,15,361,39.63361342867449,58.52777327831343,-1.8885854435399863,-9.287105627257532
M3,16,354,41.722800557815994,63.475149534135696,-2.085587990172371,-10.610666077834244
M3,17,357,42.706483369439624,62.53509131840617,-3.7981510814969432,-10.96383251204216
M3,18,363,44.08488841339182,62.086171088550735,-3.4868115882565394,-11.132062269920219
M3,19,361,49.13879783406759,70.0869720020595,-5.283138767897099,-12.679506697581967
M3,20,362,53.23235186597549,78.9666738021983,-1.2805186264039214,-15.397949505609905
M3,21,362,51.103697809627846,76.26017440936863,-1.3097986008786977,-10.737147304395759
M3,22,362,52.82801670616458,76.9255173014825,-0.2835404750261677,-15.152604091229861
M3,23,363,53.65694518056149,77.12589395052731,0.4474685926725127,-14.674577622441568
