episode_id,start_timestamp,end_timestamp,duration_hours,n_scored_hours,mean_actual_pm25,max_actual_pm25,m0_mae,m1_mae,m2_mae,m3_mae,m0_mean_residual,m1_mean_residual,m2_mean_residual,m3_mean_residual
14,2014-03-03 00:00:00,2014-03-03 00:00:00,1,1,306.0,306.0,233.0,154.91706089920808,136.01923076923075,177.12044197617632,233.0,154.91706089920808,136.01923076923075,177.12044197617632
15,2014-03-03 11:00:00,2014-03-03 11:00:00,1,1,284.0,284.0,211.0,130.98661517637856,183.4320987654321,166.31983258533342,211.0,130.98661517637856,183.4320987654321,166.31983258533342
16,2014-03-03 13:00:00,2014-03-03 15:00:00,3,3,308.3333333333333,322.0,235.33333333333334,182.77254513652133,206.8008863564419,204.37240676971362,235.33333333333334,182.77254513652133,206.8008863564419,204.37240676971362
17,2014-03-11 11:00:00,2014-03-11 11:00:00,1,1,303.0,303.0,230.0,189.86481972165302,90.7857142857143,103.8467991820271,230.0,189.86481972165302,90.7857142857143,103.8467991820271
18,2014-03-25 00:00:00,2014-03-25 04:00:00,5,5,311.8,326.0,238.8,132.73402652887734,105.77082763337896,60.28623232408806,238.8,132.73402652887734,100.27082763337896,60.28623232408806
19,2014-03-26 06:00:00,2014-03-26 15:00:00,10,10,322.5,350.0,249.5,104.78789933855629,145.35305183619136,124.10670198611543,249.5,104.78789933855629,145.35305183619136,124.10670198611543
20,2014-03-26 18:00:00,2014-03-27 13:00:00,20,20,383.7,465.0,310.7,164.9795195362183,118.17928154089915,145.43214000270245,310.7,164.9795195362183,118.17928154089915,145.43214000270245
21,2014-04-09 20:00:00,2014-04-09 20:00:00,1,1,580.0,580.0,507.0,520.049184735476,515.5443786982248,504.7440358765781,507.0,520.049184735476,515.5443786982248,504.7440358765781
22,2014-07-04 00:00:00,2014-07-04 04:00:00,5,5,296.2,303.0,223.2,182.30391981806696,184.64180015771095,182.92134303108588,223.2,182.30391981806696,184.64180015771095,182.92134303108588
23,2014-10-07 22:00:00,2014-10-08 01:00:00,4,4,300.0,326.0,227.0,117.77257843464429,22.996491228070177,62.44321201045047,227.0,117.77257843464429,22.463157894736845,62.44321201045047
24,2014-10-08 15:00:00,2014-10-10 14:00:00,48,48,370.1458333333333,454.0,297.1458333333333,190.14015329708664,141.56580194606912,126.05118895252788,297.1458333333333,190.14015329708664,141.56580194606912,126.05118895252788
25,2014-10-10 19:00:00,2014-10-11 04:00:00,10,10,314.5,331.0,241.5,122.87221529548397,112.34,64.95397181129178,241.5,122.87221529548397,112.34,64.95397181129178
26,2014-10-18 20:00:00,2014-10-19 12:00:00,17,17,361.70588235294116,413.0,288.70588235294116,179.95479654573376,107.9010220304338,116.21593618938381,288.70588235294116,179.95479654573376,105.43043379513968,116.21593618938381
27,2014-10-20 13:00:00,2014-10-20 13:00:00,1,1,285.0,285.0,212.0,93.29710283722355,43.833333333333314,66.02222429792684,212.0,93.29710283722355,-43.833333333333314,66.02222429792684
28,2014-10-24 14:00:00,2014-10-26 03:00:00,38,38,357.89473684210526,472.0,284.89473684210526,169.57997395956954,133.86254204716977,131.30187229361508,284.89473684210526,169.57997395956954,130.68885783664345,130.49393131003933
29,2014-11-15 23:00:00,2014-11-15 23:00:00,1,1,283.0,283.0,210.0,154.37124604204064,113.27659574468089,132.95339235953838,210.0,154.37124604204064,113.27659574468089,132.95339235953838
30,2014-11-16 05:00:00,2014-11-16 07:00:00,3,3,295.6666666666667,304.0,222.66666666666666,160.34685073586903,63.92134324994367,88.40287032155054,222.66666666666666,160.34685073586903,63.92134324994367,88.40287032155054
31,2014-11-19 02:00:00,2014-11-19 04:00:00,3,3,352.6666666666667,371.0,279.6666666666667,218.5006400870452,182.36064237384858,179.3355242091085,279.6666666666667,218.5006400870452,182.36064237384858,179.3355242091085
