feature,gain
NO2_w6_min,858.639217376709
SO2_w3_max,841.1820945739746
SO2_w48_min,803.4928970336914
NO2_w12_max,777.6639099121094
PRES_w12_mean,776.3430061340332
CO_w12_mean,755.9350051879883
RAIN_w3_mean,737.7028923034668
WSPM_w48_max,731.9813003540039
PRES_lag3,730.3220977783203
PM2.5_w6_max,727.939395904541
PM10_w6_min,726.6250991821289
SO2_w3_min,723.8521995544434
CO_w6_max,711.3567008972168
O3_w12_min,684.5800971984863
CO_w24_min,681.3197021484375
RAIN_w12_std,676.4452018737793
RAIN_w3_min,667.129997253418
NO2_w3_std,656.2665061950684
PRES_lag2,647.8735122680664
O3_lag6,626.2672119140625
PM2.5_lag6,622.7881050109863
NO2_lag12,622.2131004333496
O3_w3_std,620.8597984313965
DEWP_w6_mean,609.2325096130371
PM10_observed_frac_6h,607.909107208252
CO_w24_mean,597.7962112426758
PM10_w12_std,576.864990234375
PRES_w6_max,554.3671913146973
RAIN_w24_mean,545.4721908569336
WSPM_w24_min,540.5316009521484
DEWP_w6_max,526.2706985473633
PM10_w3_min,510.8333930969238
RAIN_w24_std,510.43660736083984
SO2_observed_frac_48h,509.0900993347168
RAIN_w6_max,507.06190490722656
PM10_w24_max,500.59560775756836
WSPM_w48_min,493.0824966430664
NO2_lag24,488.2754936218262
PM2.5_observed_frac_6h,482.3833999633789
NO2_w6_max,478.363094329834
RAIN_w6_min,466.00789642333984
NO2_w6_std,446.5826988220215
RAIN_w3_std,434.2969970703125
NO2_w3_min,432.91959381103516
PRES_w3_mean,420.2237014770508
WSPM_lag12,411.78908920288086
CO_w24_max,381.07669830322266
PM10_observed_frac_48h,363.5022087097168
PRES_w6_mean,353.7842025756836
WSPM_w6_min,352.50759506225586
CO_lag12,346.2451972961426
wd_is_SE,339.6490955352783
CO_lag2,337.8039016723633
CO_w48_max,323.7643013000488
SO2_w6_mean,310.5175018310547
PRES_lag1,304.066104888916
NO2_lag2,300.5106010437012
PRES_w3_min,292.0252990722656
CO_lag6,275.09729766845703
RAIN_w24_max,268.7129898071289
CO_w6_mean,249.31510543823242
DEWP_w3_max,249.01210021972656
station_is_Nongzhanguan,247.98230361938477
PM10_lag6,241.12009811401367
WSPM_lag1,234.2404022216797
RAIN_lag1,227.70670318603516
RAIN_w3_max,226.21099853515625
CO_w3_min,221.89540100097656
NO2_w12_mean,218.7532958984375
CO_w6_min,210.1968994140625
DEWP_lag1,209.49039459228516
O3_observed_frac_6h,207.6969985961914
RAIN_lag6,206.960693359375
O3_w6_std,198.36280059814453
NO2_w3_mean,176.59000396728516
SO2_observed_frac_6h,172.1506004333496
NO2_w6_mean,169.47069549560547
SO2_observed_frac_24h,161.79040145874023
CO_observed_frac_24h,140.27779388427734
WSPM_w12_min,132.0946044921875
PM2.5_lag2,124.38930130004883
NO2_lag3,111.63290023803711
wd_is_W,109.98300170898438
RAIN_lag47,94.80699920654297
PRES_observed_frac_48h,93.63849639892578
SO2_lag1,91.72229766845703
DEWP_w3_mean,90.63569641113281
PM2.5_observed_frac_48h,83.78070068359375
CO_observed_frac_48h,82.54100036621094
RAIN_lag12,81.02790069580078
NO2_observed_frac_6h,80.158203125
RAIN_lag24,63.25040054321289
CO_lag3,61.57469940185547
SO2_w3_std,56.54999923706055
WSPM_lag2,55.609500885009766
SO2_lag3,48.86690139770508
station_is_Wanliu,31.318899154663086
