station,event_id,model,horizon_hours,severe_hours,event_MAE,event_mean_residual,prediction_at_peak,residual_at_peak,abs_error_at_peak,underpredicted_peak,predicted_severe_at_first_severe_hour,predicted_severe_hours
Aotizhongxin,8,B3_R2,1,1,9.928299,9.928299,235.071701,9.928299,9.928299,true,false,0
Aotizhongxin,8,B3_R2,6,1,94.81781,94.81781,150.18219,94.81781,94.81781,true,false,0
Aotizhongxin,8,B3_R2,12,1,129.439087,129.439087,115.560913,129.439087,129.439087,true,false,0
Aotizhongxin,8,B3_R2,24,1,175.256851,175.256851,69.743149,175.256851,175.256851,true,false,0
Aotizhongxin,8,GRU_R1,1,1,48.633072,48.633072,196.366928,48.633072,48.633072,true,false,0
Aotizhongxin,8,GRU_R1,6,1,61.970856,61.970856,183.029144,61.970856,61.970856,true,false,0
Aotizhongxin,8,GRU_R1,12,1,98.871384,98.871384,146.128616,98.871384,98.871384,true,false,0
Aotizhongxin,8,GRU_R1,24,1,150.285103,150.285103,94.714897,150.285103,150.285103,true,false,0
Aotizhongxin,8,B0,1,1,16.0,16.0,229.0,16.0,16.0,true,false,0
Aotizhongxin,8,B0,6,1,21.0,21.0,224.0,21.0,21.0,true,false,0
Aotizhongxin,8,B0,12,1,60.0,60.0,185.0,60.0,60.0,true,false,0
Aotizhongxin,8,B0,24,1,133.0,133.0,112.0,133.0,133.0,true,false,0
Aotizhongxin,9,B3_R2,1,2,125.222588,125.222588,239.388687,74.611313,74.611313,true,false,0
Aotizhongxin,9,B3_R2,6,2,235.134853,235.134853,79.172188,234.827812,234.827812,true,false,0
Aotizhongxin,9,B3_R2,12,2,248.215841,248.215841,63.313377,250.686623,250.686623,true,false,0
Aotizhongxin,9,B3_R2,24,2,249.532089,249.532089,59.817894,254.182106,254.182106,true,false,0
Aotizhongxin,9,GRU_R1,1,2,207.647186,207.647186,112.437759,201.562241,201.562241,true,false,0
Aotizhongxin,9,GRU_R1,6,2,232.942947,232.942947,82.108017,231.891983,231.891983,true,false,0
Aotizhongxin,9,GRU_R1,12,2,250.896507,250.896507,61.253025,252.746975,252.746975,true,false,0
Aotizhongxin,9,GRU_R1,24,2,258.530609,258.530609,47.269527,266.730473,266.730473,true,false,0
Aotizhongxin,9,B0,1,2,39.0,39.0,309.0,5.0,5.0,true,false,1
Aotizhongxin,9,B0,6,2,236.5,236.5,80.0,234.0,234.0,true,false,0
Aotizhongxin,9,B0,12,2,255.0,255.0,56.0,258.0,258.0,true,false,0
Aotizhongxin,9,B0,24,2,280.0,280.0,24.0,290.0,290.0,true,false,0
Aotizhongxin,10,B3_R2,1,2,34.375618,27.247169,186.377213,61.622787,61.622787,true,false,1
Aotizhongxin,10,B3_R2,6,2,123.617519,123.617519,118.211571,129.788429,129.788429,true,false,0
Aotizhongxin,10,B3_R2,12,2,149.838749,149.838749,97.930199,150.069801,150.069801,true,false,0
Aotizhongxin,10,B3_R2,24,2,171.160458,171.160458,78.235687,169.764313,169.764313,true,false,0
Aotizhongxin,10,GRU_R1,1,2,56.49028,56.49028,174.193619,73.806381,73.806381,true,false,0
Aotizhongxin,10,GRU_R1,6,2,126.837765,126.837765,116.79155,131.20845,131.20845,true,false,0
Aotizhongxin,10,GRU_R1,12,2,154.349091,154.349091,93.413422,154.586578,154.586578,true,false,0
Aotizhongxin,10,GRU_R1,24,2,161.599308,161.599308,89.533348,158.466652,158.466652,true,false,0
Aotizhongxin,10,B0,1,2,37.0,37.0,174.0,74.0,74.0,true,false,1
Aotizhongxin,10,B0,6,2,129.5,129.5,109.0,139.0,139.0,true,false,0
Aotizhongxin,10,B0,12,2,172.5,172.5,74.0,174.0,174.0,true,false,0
Aotizhongxin,10,B0,24,2,189.5,189.5,65.0,183.0,183.0,true,false,0
Aotizhongxin,11,B3_R2,1,2,6.029953,6.029953,251.925018,8.074982,8.074982,true,false,1
Aotizhongxin,11,B3_R2,6,2,89.939056,89.939056,160.272217,99.727783,99.727783,true,false,0
Aotizhongxin,11,B3_R2,12,2,94.847466,94.847466,157.351654,102.648346,102.648346,true,false,0
Aotizhongxin,11,B3_R2,24,2,83.117378,83.117378,178.826019,81.173981,81.173981,true,false,0
Aotizhongxin,11,GRU_R1,1,2,34.781601,34.781601,224.50209,35.49791,35.49791,true,false,0
Aotizhongxin,11,GRU_R1,6,2,124.353004,124.353004,127.536072,132.463928,132.463928,true,false,0
Aotizhongxin,11,GRU_R1,12,2,136.936344,136.936344,110.49575,149.50425,149.50425,true,false,0
Aotizhongxin,11,GRU_R1,24,2,108.035812,108.035812,142.770142,117.229858,117.229858,true,false,0
Aotizhongxin,11,B0,1,2,12.5,12.5,247.0,13.0,13.0,true,false,1
Aotizhongxin,11,B0,6,2,88.5,88.5,160.0,100.0,100.0,true,false,0
Aotizhongxin,11,B0,12,2,75.0,75.0,172.0,88.0,88.0,true,false,0
Aotizhongxin,11,B0,24,2,87.5,87.5,173.0,87.0,87.0,true,false,0
Aotizhongxin,12,B3_R2,1,3,9.290288,-1.067968,253.336395,5.663605,5.663605,true,false,2
Aotizhongxin,12,B3_R2,6,3,49.972788,49.972788,196.816544,62.183456,62.183456,true,false,0
Aotizhongxin,12,B3_R2,12,3,108.063756,108.063756,152.73674,106.26326,106.26326,true,false,0
Aotizhongxin,12,B3_R2,24,3,152.663798,152.663798,96.977417,162.022583,162.022583,true,false,0
Aotizhongxin,12,GRU_R1,1,3,13.000031,-13.000031,267.673615,-8.673615,8.673615,false,true,3
Aotizhongxin,12,GRU_R1,6,3,58.795766,58.795766,190.327881,68.672119,68.672119,true,false,0
Aotizhongxin,12,GRU_R1,12,3,85.057866,85.057866,163.869125,95.130875,95.130875,true,false,0
Aotizhongxin,12,GRU_R1,24,3,116.592443,116.592443,136.32254,122.67746,122.67746,true,false,0
Aotizhongxin,12,B0,1,3,11.333333,4.0,248.0,11.0,11.0,true,false,2
Aotizhongxin,12,B0,6,3,71.333333,71.333333,178.0,81.0,81.0,true,false,0
Aotizhongxin,12,B0,12,3,115.0,115.0,139.0,120.0,120.0,true,false,0
Aotizhongxin,12,B0,24,3,134.666667,134.666667,120.0,139.0,139.0,true,false,0
Aotizhongxin,13,B3_R2,1,4,39.352722,7.433472,319.104736,26.895264,26.895264,true,true,4
Aotizhongxin,13,B3_R2,6,4,103.314583,103.314583,196.352768,149.647232,149.647232,true,false,0
Aotizhongxin,13,B3_R2,12,4,113.583233,113.583233,194.178375,151.821625,151.821625,true,false,0
Aotizhongxin,13,B3_R2,24,4,203.689486,203.689486,101.198456,244.801544,244.801544,true,false,0
Aotizhongxin,13,GRU_R1,1,4,54.589001,54.589001,262.535248,83.464752,83.464752,true,false,3
Aotizhongxin,13,GRU_R1,6,4,108.988171,108.988171,206.798218,139.201782,139.201782,true,false,0
Aotizhongxin,13,GRU_R1,12,4,111.908878,111.908878,190.48204,155.51796,155.51796,true,false,0
Aotizhongxin,13,GRU_R1,24,4,133.107613,133.107613,172.183975,173.816025,173.816025,true,false,0
Aotizhongxin,13,B0,1,4,42.5,9.0,317.0,29.0,29.0,true,false,3
Aotizhongxin,13,B0,6,4,117.0,117.0,193.0,153.0,153.0,true,false,0
Aotizhongxin,13,B0,12,4,92.5,92.5,208.0,138.0,138.0,true,false,0
Aotizhongxin,13,B0,24,4,129.5,129.5,181.0,165.0,165.0,true,false,0
Aotizhongxin,14,B3_R2,1,10,20.725145,1.685246,243.385208,76.614792,76.614792,true,false,9
Aotizhongxin,14,B3_R2,6,10,22.464865,9.269095,275.749237,44.250763,44.250763,true,true,6
Aotizhongxin,14,B3_R2,12,10,73.154091,73.154091,180.11824,139.88176,139.88176,true,false,0
Aotizhongxin,14,B3_R2,24,10,135.499153,135.499153,122.571228,197.428772,197.428772,true,false,0
Aotizhongxin,14,GRU_R1,1,10,20.464786,18.609024,241.03447,78.96553,78.96553,true,false,8
Aotizhongxin,14,GRU_R1,6,10,35.638861,35.638861,234.841309,85.158691,85.158691,true,false,4
Aotizhongxin,14,GRU_R1,12,10,67.223967,67.223967,183.456161,136.543839,136.543839,true,false,1
Aotizhongxin,14,GRU_R1,24,10,57.547594,57.547594,216.733917,103.266083,103.266083,true,false,2
Aotizhongxin,14,B0,1,10,21.6,2.4,227.0,93.0,93.0,true,false,9
Aotizhongxin,14,B0,6,10,32.0,-4.4,276.0,44.0,44.0,true,true,8
Aotizhongxin,14,B0,12,10,59.6,31.8,177.0,143.0,143.0,true,false,4
Aotizhongxin,14,B0,24,10,48.3,48.1,216.0,104.0,104.0,true,false,3
Aotizhongxin,15,B3_R2,1,7,14.548294,4.12927,304.287842,5.712158,5.712158,true,false,6
Aotizhongxin,15,B3_R2,6,7,75.171999,75.171999,203.246948,106.753052,106.753052,true,false,1
Aotizhongxin,15,B3_R2,12,7,181.684287,181.684287,99.774773,210.225227,210.225227,true,false,0
Aotizhongxin,15,B3_R2,24,7,210.325074,210.325074,68.199028,241.800972,241.800972,true,false,0
Aotizhongxin,15,GRU_R1,1,7,20.982341,19.179598,276.323059,33.676941,33.676941,true,false,6
Aotizhongxin,15,GRU_R1,6,7,53.968824,53.968824,241.834747,68.165253,68.165253,true,false,3
Aotizhongxin,15,GRU_R1,12,7,99.350185,99.350185,192.985306,117.014694,117.014694,true,false,0
Aotizhongxin,15,GRU_R1,24,7,148.109301,148.109301,139.240997,170.759003,170.759003,true,false,0
Aotizhongxin,15,B0,1,7,16.428571,3.0,304.0,6.0,6.0,true,false,6
Aotizhongxin,15,B0,6,7,67.428571,65.142857,221.0,89.0,89.0,true,false,1
Aotizhongxin,15,B0,12,7,105.571429,105.571429,202.0,108.0,108.0,true,false,0
Aotizhongxin,15,B0,24,7,137.428571,137.428571,146.0,164.0,164.0,true,false,0
Aotizhongxin,16,B3_R2,1,2,16.697357,9.685425,239.617218,26.382782,26.382782,true,false,1
Aotizhongxin,16,B3_R2,6,2,65.388741,65.388741,205.848724,60.151276,60.151276,true,false,0
Aotizhongxin,16,B3_R2,12,2,62.45433,62.45433,195.948639,70.051361,70.051361,true,false,0
Aotizhongxin,16,B3_R2,24,2,169.646748,169.646748,90.54789,175.45211,175.45211,true,false,0
Aotizhongxin,16,GRU_R1,1,2,24.674095,24.674095,227.593567,38.406433,38.406433,true,false,0
Aotizhongxin,16,GRU_R1,6,2,48.744896,48.744896,223.347214,42.652786,42.652786,true,false,0
Aotizhongxin,16,GRU_R1,12,2,9.033188,9.033188,250.24353,15.75647,15.75647,true,true,2
Aotizhongxin,16,GRU_R1,24,2,68.849487,68.849487,190.536072,75.463928,75.463928,true,false,0
Aotizhongxin,16,B0,1,2,17.5,5.5,243.0,23.0,23.0,true,false,1
Aotizhongxin,16,B0,6,2,25.0,25.0,241.0,25.0,25.0,true,false,0
