model,station,horizon_hours,lag_hours,acf,n_pairs
B3_R2,Gucheng,6,48,0.077949,8411
B3_R2,Gucheng,6,72,0.111672,8383
B3_R2,Gucheng,6,168,0.026975,8296
B3_R2,Gucheng,12,1,0.942228,8529
B3_R2,Gucheng,12,2,0.860498,8504
B3_R2,Gucheng,12,3,0.785928,8494
B3_R2,Gucheng,12,6,0.577004,8479
B3_R2,Gucheng,12,12,0.249302,8457
B3_R2,Gucheng,12,24,0.239036,8432
B3_R2,Gucheng,12,48,0.13697,8411
B3_R2,Gucheng,12,72,0.154416,8383
B3_R2,Gucheng,12,168,0.011382,8296
B3_R2,Gucheng,24,1,0.964609,8529
B3_R2,Gucheng,24,2,0.913311,8504
B3_R2,Gucheng,24,3,0.865076,8494
B3_R2,Gucheng,24,6,0.73066,8479
B3_R2,Gucheng,24,12,0.527895,8457
B3_R2,Gucheng,24,24,0.305069,8432
B3_R2,Gucheng,24,48,0.150248,8411
B3_R2,Gucheng,24,72,0.176771,8383
B3_R2,Gucheng,24,168,0.035663,8296
B3_R2,Huairou,1,1,0.064701,8556
B3_R2,Huairou,1,2,-0.088507,8541
B3_R2,Huairou,1,3,0.004068,8539
B3_R2,Huairou,1,6,-0.005164,8522
B3_R2,Huairou,1,12,-0.000513,8499
B3_R2,Huairou,1,24,0.032966,8461
B3_R2,Huairou,1,48,0.01704,8436
B3_R2,Huairou,1,72,0.021855,8413
B3_R2,Huairou,1,168,0.020467,8317
B3_R2,Huairou,6,1,0.843282,8556
B3_R2,Huairou,6,2,0.657482,8541
B3_R2,Huairou,6,3,0.480768,8539
B3_R2,Huairou,6,6,0.020612,8522
B3_R2,Huairou,6,12,-0.002964,8499
B3_R2,Huairou,6,24,0.019904,8461
B3_R2,Huairou,6,48,0.044502,8436
B3_R2,Huairou,6,72,0.033806,8413
B3_R2,Huairou,6,168,-0.009997,8317
B3_R2,Huairou,12,1,0.923385,8556
B3_R2,Huairou,12,2,0.831524,8541
B3_R2,Huairou,12,3,0.748068,8539
B3_R2,Huairou,12,6,0.518564,8522
B3_R2,Huairou,12,12,0.136485,8499
B3_R2,Huairou,12,24,0.070345,8461
B3_R2,Huairou,12,48,0.029873,8436
B3_R2,Huairou,12,72,0.040153,8413
B3_R2,Huairou,12,168,-0.029601,8317
B3_R2,Huairou,24,1,0.956016,8556
B3_R2,Huairou,24,2,0.901804,8541
B3_R2,Huairou,24,3,0.852552,8539
B3_R2,Huairou,24,6,0.715355,8522
B3_R2,Huairou,24,12,0.492483,8499
B3_R2,Huairou,24,24,0.203429,8461
B3_R2,Huairou,24,48,0.079659,8436
B3_R2,Huairou,24,72,0.098209,8413
B3_R2,Huairou,24,168,-0.002692,8317
B3_R2,Nongzhanguan,1,1,0.246702,8538
B3_R2,Nongzhanguan,1,2,0.067644,8511
B3_R2,Nongzhanguan,1,3,0.063789,8506
B3_R2,Nongzhanguan,1,6,-0.010451,8487
B3_R2,Nongzhanguan,1,12,0.006604,8479
B3_R2,Nongzhanguan,1,24,-0.004518,8463
B3_R2,Nongzhanguan,1,48,0.026167,8442
B3_R2,Nongzhanguan,1,72,0.01302,8413
B3_R2,Nongzhanguan,1,168,0.008324,8320
B3_R2,Nongzhanguan,6,1,0.876851,8538
B3_R2,Nongzhanguan,6,2,0.700585,8511
B3_R2,Nongzhanguan,6,3,0.519128,8506
B3_R2,Nongzhanguan,6,6,0.038081,8487
B3_R2,Nongzhanguan,6,12,0.045154,8479
B3_R2,Nongzhanguan,6,24,0.05808,8463
B3_R2,Nongzhanguan,6,48,0.07036,8442
B3_R2,Nongzhanguan,6,72,0.043707,8413
B3_R2,Nongzhanguan,6,168,0.038928,8320
B3_R2,Nongzhanguan,12,1,0.942181,8538
B3_R2,Nongzhanguan,12,2,0.861302,8511
B3_R2,Nongzhanguan,12,3,0.780982,8506
B3_R2,Nongzhanguan,12,6,0.542642,8487
B3_R2,Nongzhanguan,12,12,0.205741,8479
B3_R2,Nongzhanguan,12,24,0.162702,8463
B3_R2,Nongzhanguan,12,48,0.148044,8442
B3_R2,Nongzhanguan,12,72,0.127959,8413
B3_R2,Nongzhanguan,12,168,0.033782,8320
B3_R2,Nongzhanguan,24,1,0.966007,8538
B3_R2,Nongzhanguan,24,2,0.916583,8511
B3_R2,Nongzhanguan,24,3,0.866702,8506
B3_R2,Nongzhanguan,24,6,0.722449,8487
B3_R2,Nongzhanguan,24,12,0.523552,8479
B3_R2,Nongzhanguan,24,24,0.266891,8463
B3_R2,Nongzhanguan,24,48,0.213738,8442
B3_R2,Nongzhanguan,24,72,0.16842,8413
B3_R2,Nongzhanguan,24,168,0.042147,8320
B3_R2,Shunyi,1,1,0.190941,8319
